0	0	133.17131
0	250000	14.282433
250000	250000	117.94632
0	500000	12.532134
250000	500000	59.13835
500000	500000	58.37738
0	750000	8.797858
250000	750000	10.379135
500000	750000	9.107182
750000	750000	105.49209
250000	1000000	5.588658
500000	1000000	4.9037733
750000	1000000	37.86823
1000000	1000000	118.63386
500000	1250000	6.4438443
750000	1250000	3.0158222
1000000	1250000	27.605843
1250000	1250000	110.96093
500000	1500000	1.7468154
750000	1500000	4.905225
1000000	1500000	6.603061
1250000	1500000	28.922693
1500000	1500000	113.843254
750000	1750000	1.3180579
1000000	1750000	9.935938
1250000	1750000	7.4608016
1500000	1750000	16.17996
1750000	1750000	90.21341
500000	2000000	3.8720796
1000000	2000000	2.927336
1250000	2000000	5.1289206
1500000	2000000	5.213858
1750000	2000000	15.691077
2000000	2000000	93.61415
500000	2250000	4.0186934
1000000	2250000	1.5190887
1250000	2250000	1.3307809
1500000	2250000	4.329022
1750000	2250000	6.9793754
2000000	2250000	23.989822
2250000	2250000	79.67418
750000	2500000	2.3457668
1750000	2500000	3.868774
2000000	2500000	7.978754
2250000	2500000	22.772377
2500000	2500000	77.45978
1250000	2750000	1.4526747
1750000	2750000	5.079104
2000000	2750000	2.6187189
2250000	2750000	12.230436
2500000	2750000	21.46847
2750000	2750000	77.13733
1750000	3000000	2.464444
2000000	3000000	1.2706345
2250000	3000000	5.2749853
2500000	3000000	21.930033
2750000	3000000	24.472141
3000000	3000000	75.436
750000	3250000	1.540858
1500000	3250000	1.1821854
1750000	3250000	5.082544
2000000	3250000	1.3102461
2250000	3250000	17.67815
2500000	3250000	3.392054
2750000	3250000	17.812977
3000000	3250000	12.964614
3250000	3250000	72.78558
750000	3500000	2.3888764
1000000	3500000	1.2862935
1250000	3500000	1.1268431
1500000	3500000	3.6656137
1750000	3500000	4.924841
2000000	3500000	5.078366
2250000	3500000	2.1082618
2500000	3500000	0.8764812
2750000	3500000	1.1506847
3000000	3500000	4.4666114
3250000	3500000	18.423424
3500000	3500000	83.90335
750000	3750000	2.187143
1250000	3750000	2.0633693
1750000	3750000	5.4107437
2000000	3750000	1.8598052
2250000	3750000	3.860451
2500000	3750000	3.20986
3000000	3750000	2.0447097
3250000	3750000	4.2169056
3500000	3750000	17.978674
3750000	3750000	98.76257
750000	4000000	1.1879337
1750000	4000000	0.9796044
2250000	4000000	2.0967808
2500000	4000000	4.3585405
2750000	4000000	2.288837
3000000	4000000	1.1105719
3250000	4000000	3.4355805
3500000	4000000	6.2140965
3750000	4000000	14.629719
4000000	4000000	68.865715
1750000	4250000	3.2798722
2000000	4250000	3.3821173
2500000	4250000	5.8372364
2750000	4250000	3.8316963
3000000	4250000	3.7183723
3250000	4250000	3.834291
3500000	4250000	3.9630075
3750000	4250000	9.070859
4000000	4250000	23.648558
4250000	4250000	84.677704
1750000	4500000	2.1376498
2000000	4500000	2.2042878
2500000	4500000	6.657711
2750000	4500000	6.2432494
3000000	4500000	6.058603
3250000	4500000	4.997982
3750000	4500000	5.3207216
4000000	4500000	12.522979
4250000	4500000	17.201614
4500000	4500000	69.368774
2000000	4750000	1.2396944
2500000	4750000	2.1396034
2750000	4750000	1.4044847
3000000	4750000	5.4517865
3250000	4750000	7.0271797
